county,reporting_agency,agency_full_name,ncic_number_county,ncic_number_city,ncic_number_agency,date_of_birth_mm,date_of_birth_dd,date_of_birth_yyyy,race,gender,custody_status,custody_offense,date_of_death_yyyy,date_of_death_mm,date_of_death_dd,custodial_responsibility_at_time_of_death,location_where_cause_of_death_occurred,facility_death_occured,manner_of_death,means_of_death
San Diego,Sheriff,San Diego County Sheriff's Department,37,00,00,7,11,1949,White,Male,Sentenced,79,1985,6,7,County Jail,Living,Local Hospital,Natural,Not Applicable
Ventura,Police,Oxnard Police Department,56,04,00,5,2,1957,Hispanic,Male,Booked - Awaiting Trial,873,1985,2,13,City Jail,Booking,Other,Suicide,"Hanging,Strangulation"
Contra Costa,Sheriff,Contra Costa County Sheriff's Department,7,00,00,9,21,1959,Black,Male,Booked - Awaiting Trial,110,1985,6,8,County Jail,Medical Treatment,Local Hospital,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,9,14,1954,Hispanic,Male,Sentenced,0,1985,6,11,CDC/CRC,Common,Local Hospital,Pending/Unknown,"Knife,Cutting Instrument"
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,1,27,1966,White,Male,Booked - Awaiting Trial,400,1985,6,4,County Jail,Booking,County jail,Suicide,"Hanging,Strangulation"
Imperial,Sheriff,Unknown due to data reported,13,02,00,2,20,1958,Hispanic,Male,In Transit,0,1985,7,4,Other,Other,Local Hospital,Pending/Unknown,Unknown
Orange,Probation,Orange County Probation Department,30,01,3G,8,14,1967,White,Male,Sentenced,876,1985,11,18,Local Juvenile facility,Living,Local Juvenile Facility,Suicide,"Hanging,Strangulation"
San Bernardino,State,California Institution for Women,36,08,5C,0,0,Unk,Unknown,Female,Sentenced,0,1985,11,30,Unknown,Unknown,Unknown,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,8,29,1954,Hispanic,Male,Sentenced,0,1985,7,10,CDC/CRC,Common,CDC/CRC,Pending/Unknown,"Knife,Cutting Instrument"
San Francisco,Police,San Francisco Police Department,38,01,00,1,23,1959,Hispanic,Male,In Transit,800,1985,6,18,Other,Other,Local Hospital,Natural,Not Applicable
San Joaquin,State,Deuel Vocational Institution,39,01,5C,7,1,1952,White,Male,Sentenced,0,1985,6,15,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,0,0,Unk,Unknown,Male,Sentenced,0,1985,6,13,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Bernardino,State,California Institution for Women,36,08,5C,1,17,1953,White,Female,Sentenced,0,1985,7,7,Unknown,Unknown,Unknown,Accidental,Drug Overdose
Santa Cruz,Sheriff,Santa Cruz County Sheriff's Department,44,00,00,7,24,1920,White,Male,Sentenced,0,1985,7,18,County Jail,Living,County jail,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,3,7,1961,Asian,Male,Sentenced,0,1985,6,6,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Stanislaus,Sheriff,Stanislaus County Sheriff's Department,50,00,00,10,29,1934,White,Female,Booked - No Charges Filed,46,1985,7,8,County Jail,Unknown,Local Hospital,Pending/Unknown,Unknown
Monterey,State,Correctional Training Facility,27,01,5C,1,5,1962,Hispanic,Male,Sentenced,0,1985,6,29,CDC/CRC,Living,CDC/CRC,Accidental,Drug Overdose
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,9,11,1946,White,Male,Booked - Awaiting Trial,200,1985,7,24,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,10,4,1922,Black,Male,Booked - Awaiting Trial,0,1985,7,19,County Jail,Medical Treatment,Local Hospital,Other,Other
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,2,22,1938,Black,Male,Booked - Awaiting Trial,0,1985,4,23,County Jail,Common,County jail,Pending/Unknown,Unknown
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,3,21,1946,Black,Female,Sentenced,98,1985,3,23,County Jail,Living,County jail,Natural,Not Applicable
Los Angeles,Police,San Fernando Police Department,19,61,00,9,29,1965,Hispanic,Male,Booked - Awaiting Trial,200,1985,2,19,City Jail,Living,City Jail,Suicide,"Hanging,Strangulation"
Monterey,State,Correctional Training Facility,27,01,5C,5,25,1947,White,Male,Sentenced,530,1985,7,16,CDC/CRC,Living,Local Hospital,Natural,Not Applicable
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,6,4,1949,Hispanic,Male,Sentenced,836,1985,8,6,County Jail,Common,Local Hospital,Natural,Not Applicable
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,7,10,1951,White,Male,Sentenced,841,1985,8,20,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,12,29,1959,White,Male,Booked - Awaiting Trial,300,1985,8,8,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
San Diego,Sheriff,San Diego County Sheriff's Department,37,00,00,11,18,1923,Hispanic,Male,Booked - Awaiting Trial,425,1985,8,29,County Jail,Living,Local Hospital,Natural,Not Applicable
San Joaquin,State,Deuel Vocational Institution,39,01,5C,12,31,1959,White,Male,Sentenced,200,1985,5,4,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
San Joaquin,Police,Manteca Police Department,39,03,00,7,15,1953,White,Male,Booked - Awaiting Trial,320,1985,9,4,City Jail,Holding,City Jail,Suicide,"Hanging,Strangulation"
San Luis Obispo,State,California Men's Colony,40,01,5C,8,22,1923,White,Male,Sentenced,0,1985,8,27,CDC/CRC,Living,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,1,4,1947,White,Male,Sentenced,0,1985,8,27,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Tuolumne,Sheriff,Tuolumne County Sheriff's Department,55,00,00,10,5,1946,White,Male,In Transit,46,1985,8,4,Other,Other,Local Hospital,Pending/Unknown,Unknown
Solano,State,California Medical Facility,48,01,5C,12,4,1962,Hispanic,Male,Sentenced,0,1985,12,24,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,11,22,1957,Hispanic,Male,Sentenced,0,1985,1,8,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,5,3,1925,Hispanic,Male,Sentenced,0,1985,2,9,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Other
Orange,Police,Anaheim Police Department,30,01,00,3,6,1955,Hispanic,Male,Booked - Awaiting Trial,320,1985,5,20,City Jail,Holding,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,12,11,1952,White,Male,Sentenced,0,1985,7,21,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Solano,State,California Medical Facility,48,01,5C,2,4,1965,Black,Male,Sentenced,0,1985,7,23,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,3,12,1916,White,Male,Sentenced,150,1985,8,13,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,8,4,1944,Hispanic,Male,Booked - Awaiting Trial,837,1985,9,4,County Jail,Living,Local Hospital,Natural,Not Applicable
Lake,Sheriff,Lake County Sheriff's Department,17,00,00,10,1,1951,White,Male,Booked - No Charges Filed,398,1985,9,7,County Jail,Holding,Local Hospital,Suicide,"Hanging,Strangulation"
San Joaquin,State,Deuel Vocational Institution,39,01,5C,5,15,1957,White,Male,Sentenced,0,1985,9,10,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,11,27,1960,Black,Male,Sentenced,610,1985,9,12,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Riverside,State,California Rehabilitation Center,33,01,5C,7,16,1954,White,Male,Sentenced,0,1985,5,14,CDC/CRC,Living,Local Hospital,Homicide Willful (Other Inmate),Unknown
Stanislaus,Sheriff,Stanislaus County Sheriff's Department,50,00,00,11,4,1934,White,Male,Sentenced,510,1985,9,18,County Jail,Living,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Women,36,08,5C,5,9,1948,White,Female,Sentenced,501,1985,6,26,Unknown,Unknown,Unknown,Natural,Not Applicable
San Diego,Police,La Mesa Police Department,37,08,00,12,1,1963,White,Male,Booked - Awaiting Trial,0,1985,8,20,City Jail,Holding,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Police,Los Angeles Police Department,19,42,00,10,13,1930,White,Male,In Transit,46,1985,6,5,Other,Other,Other,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,9,13,1946,White,Male,Sentenced,0,1985,6,28,CDC/CRC,Living,CDC/CRC,Accidental,Other
Los Angeles,Police,Los Angeles Police Department,19,42,00,11,2,1954,Black,Male,In Transit,0,1985,7,8,Other,Other,County jail,Accidental,Other
Los Angeles,Police,Los Angeles Police Department,19,42,00,11,6,1950,Black,Male,Booked - Awaiting Trial,200,1985,7,10,City Jail,Booking,Local Hospital,Accidental,Drug Overdose
Los Angeles,Police,Los Angeles Police Department,19,42,00,2,3,1953,White,Male,Booked - Awaiting Trial,0,1985,7,22,City Jail,Living,City Jail,Natural,Not Applicable
Los Angeles,Police,Inglewood Police Department,19,33,00,5,7,1932,Black,Male,Booked - Awaiting Trial,502,1985,8,30,City Jail,Living,Local Hospital,Pending/Unknown,Unknown
San Luis Obispo,State,California Men's Colony,40,01,5C,3,1,1921,Black,Male,Sentenced,0,1985,9,8,Local Hospital,Medical Treatment,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,7,21,1961,Hispanic,Male,Sentenced,0,1985,9,8,CDC/CRC,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Yolo,Sheriff,Yolo County Sheriff's Department,57,00,00,8,29,1931,White,Male,Sentenced,856,1985,9,13,County Jail,Living,Local Hospital,Natural,Not Applicable
Placer,Police,Roseville Police Department,31,05,00,7,12,1917,White,Male,Booked - No Charges Filed,827,1985,9,14,City Jail,Holding,Local Hospital,Natural,Not Applicable
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,7,17,1925,Black,Male,Sentenced,856,1985,9,17,County Jail,Living,County jail,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,11,23,1945,White,Male,Sentenced,0,1985,9,23,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,1,1,1945,White,Male,Sentenced,200,1985,10,11,CDC/CRC,Living,Local Hospital,Pending/Unknown,Drug Overdose
Santa Cruz,Sheriff,Santa Cruz County Sheriff's Department,44,00,00,10,23,1922,Black,Male,Sentenced,856,1985,10,14,County Jail,Living,County jail,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,5,6,1955,White,Male,Sentenced,585,1985,10,16,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
San Diego,Sheriff,San Diego County Sheriff's Department,37,00,00,12,10,1948,White,Male,Booked - Awaiting Trial,320,1985,10,19,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Shasta,Sheriff,Shasta County Sheriff's Department,45,00,00,4,21,1923,White,Male,Sentenced,856,1985,10,26,County Jail,Living,Local Hospital,Natural,Not Applicable
Placer,Sheriff,Placer County Sheriff's Department,31,00,00,4,22,1953,White,Male,Booked - Awaiting Trial,100,1985,10,27,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,12,3,1939,White,Female,Sentenced,856,1985,11,4,County Jail,Common,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,8,19,1942,Black,Male,Sentenced,0,1985,6,16,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,6,27,1959,White,Male,Sentenced,0,1985,7,15,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Sonoma,Police,Sebastopol Police Department,49,06,00,2,16,1949,White,Male,Awaiting Booking,397,1985,7,21,City Jail,Holding,Local Hospital,Suicide,"Hanging,Strangulation"
Riverside,Sheriff,Riverside County Sheriff's Department,33,00,00,12,4,1958,Black,Male,Booked - Awaiting Trial,47,1985,8,5,County Jail,Common,Local Hospital,Homicide Willful (Other Inmate),"Club,Blunt Instrument"
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,0,0,1947,Unknown,Male,Booked - Awaiting Trial,0,1985,8,10,County Jail,Common,Local Hospital,Pending/Unknown,"Hanging,Strangulation"
Los Angeles,Police,Los Angeles Police Department,19,42,00,2,11,1950,Black,Male,In Transit,0,1985,8,27,Local Hospital,Medical Treatment,Local Hospital,Accidental,Drug Overdose
Solano,State,California Medical Facility,48,01,5C,8,6,1937,White,Male,Sentenced,0,1985,8,28,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,9,18,1924,White,Male,Sentenced,0,1985,10,8,CDC/CRC,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Police,Los Angeles Police Department,19,42,00,10,9,1956,Hispanic,Male,Booked - Awaiting Trial,0,1985,12,9,City Jail,Living,City Jail,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,7,28,1956,White,Male,Sentenced,700,1985,10,28,CDC/CRC,Living,CDC/CRC,Pending/Unknown,"Knife,Cutting Instrument"
Santa Barbara,Sheriff,Santa Barbara County Sheriff's Department,42,00,00,0,0,1957,Hispanic,Female,Sentenced,0,1985,11,1,County Jail,Living,Local Hospital,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,2,24,1953,White,Male,Sentenced,400,1985,11,2,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Orange,Police,Santa Ana Police Department,30,19,00,9,10,1954,Unknown,Male,Booked - Awaiting Trial,836,1985,11,9,City Jail,Medical Treatment,Local Hospital,Pending/Unknown,Unknown
Siskiyou,Sheriff,Siskiyou County Sheriff's Department,47,00,00,8,10,1907,Unknown,Male,Sentenced,640,1985,11,10,County Jail,Common,Local Hospital,Natural,Not Applicable
San Joaquin,State,Deuel Vocational Institution,39,01,5C,5,31,1965,Hispanic,Male,Sentenced,0,1985,11,15,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Yolo,Sheriff,Yolo County Sheriff's Department,57,00,00,2,4,1923,White,Male,Booked - Awaiting Trial,46,1985,11,16,County Jail,Holding,Local Hospital,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,5,27,1957,White,Male,Sentenced,881,1985,11,20,CDC/CRC,Other,Local Hospital,Pending/Unknown,"Knife,Cutting Instrument"
San Francisco,Police,San Francisco Police Department,38,01,00,8,2,1922,White,Male,In Transit,0,1985,11,22,Other,Other,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,9,13,1934,Black,Male,Sentenced,320,1985,12,2,County Jail,Living,Other,Pending/Unknown,Unknown
Santa Clara,Sheriff,Santa Clara County Sheriff's Department,43,00,00,1,17,1941,White,Male,Sentenced,0,1985,12,4,County Jail,Living,County jail,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,23,1955,Black,Male,Sentenced,0,1985,12,6,County Jail,Living,County jail,Pending/Unknown,Unknown
Monterey,State,Correctional Training Facility,27,01,5C,5,11,1954,White,Male,Sentenced,0,1985,12,11,CDC/CRC,Common,CDC/CRC,Natural,Not Applicable
Santa Clara,Police,Mountain View Police Department,43,11,00,7,10,1920,White,Male,Other,0,1985,6,5,Other,Other,Local Hospital,Other,"Hands,Feet,Fists"
Los Angeles,Police,Los Angeles Police Department,19,42,00,5,28,1952,Black,Male,In Transit,0,1985,7,1,Local Hospital,Medical Treatment,Local Hospital,Pending/Unknown,Drug Overdose
Santa Clara,Probation,Santa Clara County Probation Department,43,01,3G,11,4,1972,White,Male,Unknown,0,1985,10,18,Local Juvenile facility,Living,Local Juvenile Facility,Suicide,"Hanging,Strangulation"
San Luis Obispo,State,California Men's Colony,40,01,5C,5,17,1960,Hispanic,Male,Sentenced,0,1985,10,31,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Marin,State,San Quentin State Prison,21,01,5C,12,6,1946,Hispanic,Male,Sentenced,110,1985,11,12,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Solano,State,California Medical Facility,48,01,5C,11,26,1919,White,Male,Sentenced,0,1985,11,15,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Monterey,State,Correctional Training Facility,27,01,5C,11,18,1935,Hispanic,Male,Sentenced,0,1985,11,26,CDC/CRC,Medical Treatment,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,6,2,1943,Black,Male,Sentenced,0,1985,12,1,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Joaquin,Police,Lodi Police Department,39,02,00,3,30,1953,White,Male,Booked - Awaiting Trial,79,1985,12,1,City Jail,Holding,City Jail,Suicide,"Hanging,Strangulation"
Solano,State,California Medical Facility,48,01,5C,9,19,1923,Black,Male,Sentenced,0,1985,12,9,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,7,20,1949,Hispanic,Male,Sentenced,0,1985,12,9,CDC/CRC,Medical Treatment,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,0,0,1942,Unknown,Male,Sentenced,0,1985,12,12,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Ventura,Sheriff,Ventura County Sheriff's Department,56,00,00,10,6,1933,Hispanic,Male,Booked - Awaiting Trial,776,1985,12,15,County Jail,Common,Local Hospital,Suicide,"Knife,Cutting Instrument"
Lassen,State,California Correctional Center,18,01,5C,2,8,1967,White,Male,Sentenced,0,1985,12,15,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,6,30,1932,White,Male,Sentenced,0,1985,12,26,County Jail,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Probation,Los Angeles County Probation Department,19,01,3G,3,22,1968,Hispanic,Male,Sentenced,836,1985,12,27,Local Juvenile facility,Living,Local Juvenile Facility,Suicide,"Hanging,Strangulation"
Santa Clara,Sheriff,Santa Clara County Sheriff's Department,43,00,00,11,24,1961,Hispanic,Male,Booked - Awaiting Trial,844,1985,12,27,County Jail,Living,Local Hospital,Accidental,Drug Overdose
Alameda,Police,Oakland Police Department,1,09,00,8,12,1952,Hispanic,Male,Unknown,341,1985,12,31,Other,Other,Local Hospital,Pending/Unknown,Unknown
San Bernardino,Police,San Bernardino Police Department,36,10,00,4,6,1947,White,Male,In Transit,320,1985,12,3,None,Not Applicable,Local Hospital,Pending/Unknown,Not Applicable
Los Angeles,Police,Los Angeles Police Department,19,42,00,2,13,1969,Black,Male,In Transit,800,1985,9,16,None,Not Applicable,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,8,17,1951,Black,Male,Sentenced,320,1985,11,30,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,12,2,1940,Black,Male,Sentenced,530,1985,12,1,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Los Angeles,Police,Los Angeles Police Department,19,42,00,12,11,1946,White,Male,Booked - Awaiting Trial,550,1985,12,13,City Jail,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,4,29,1936,Hispanic,Male,In Transit,100,1985,8,24,None,Not Applicable,Local Hospital,Suicide,Firearm
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,2,20,1943,Black,Male,In Transit,46,1985,9,23,None,Not Applicable,Local Hospital,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,8,15,1949,White,Male,Sentenced,300,1985,12,11,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Los Angeles,Police,Long Beach Police Department,19,41,00,11,9,1958,White,Male,Awaiting Booking,827,1985,7,11,City Jail,Booking,Local Hospital,Accidental,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,1,23,1960,White,Male,Sentenced,200,1986,1,1,CDC/CRC,Living,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
San Francisco,Police,San Francisco Police Department,38,01,00,3,29,1961,White,Male,Booked - Awaiting Trial,46,1986,1,3,City Jail,Living,Local Hospital,Accidental,Drug Overdose
Solano,State,California Medical Facility,48,01,5C,2,4,1947,Black,Male,Sentenced,0,1986,1,3,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
San Mateo,Police,Daly City Police Department,41,06,00,11,26,1928,White,Male,In Transit,0,1986,1,9,None,Other,Local Hospital,Natural,Not Applicable
Orange,Police,Tustin Police Department,30,22,00,8,18,1949,White,Male,In Transit,0,1986,1,10,None,Not Applicable,Local Hospital,Pending/Unknown,Unknown
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,4,10,1949,Hispanic,Male,Booked - Awaiting Trial,801,1986,1,10,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
San Bernardino,State,California Institution for Men,36,01,5C,2,17,1917,White,Male,Sentenced,700,1986,1,12,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Alameda,Police,Oakland Police Department,1,09,00,3,19,1923,White,Male,Booked - Awaiting Trial,825,1986,1,14,City Jail,Administrative,Local Hospital,Natural,Not Applicable
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,5,9,1948,White,Female,Sentenced,0,1986,1,15,County Jail,Living,Local Hospital,Pending/Unknown,Not Applicable
San Bernardino,Sheriff,San Bernardino County Sheriff's Department,36,00,00,9,8,1923,White,Male,In Transit,0,1986,1,19,None,Not Applicable,Local Hospital,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,1,3,1937,Black,Female,Sentenced,28,1986,1,19,County Jail,Living,Local Hospital,Natural,Not Applicable
San Mateo,Sheriff,San Mateo County Sheriff's Department,41,00,00,11,8,1922,White,Male,Sentenced,713,1986,1,23,County Jail,Living,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,9,4,1943,White,Male,Sentenced,0,1986,1,23,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
San Luis Obispo,Sheriff,San Luis Obispo County Sheriff's Department,40,00,00,2,22,1966,White,Female,Booked - Awaiting Trial,400,1986,1,23,County Jail,Living,County jail,Accidental,Drug Overdose
Marin,State,San Quentin State Prison,21,01,5C,11,6,1954,White,Male,Sentenced,700,1986,1,24,CDC/CRC,Living,CDC/CRC,Suicide,Drug Overdose
San Bernardino,State,California Institution for Men,36,01,5C,10,31,1929,Black,Male,Sentenced,400,1986,1,29,CDC/CRC,Living,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,9,3,1927,White,Male,Sentenced,700,1986,1,31,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,9,6,1960,Hispanic,Male,Booked - Awaiting Trial,94,1986,1,31,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
San Bernardino,Sheriff,San Bernardino County Sheriff's Department,36,00,00,1,14,1958,Hispanic,Male,In Transit,65,1986,2,5,None,Not Applicable,Local Hospital,Pending/Unknown,Not Applicable
Solano,State,California Medical Facility,48,01,5C,7,5,1960,White,Male,Sentenced,400,1986,2,9,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,2,22,1943,Hispanic,Male,Sentenced,600,1986,2,11,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,4,6,1949,Hispanic,Male,Sentenced,880,1986,2,13,CDC/CRC,Living,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
San Francisco,Police,San Francisco Police Department,38,01,00,5,15,1968,Black,Male,Sentenced,822,1986,2,14,Adult Camp or Ranch,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Riverside,Sheriff,Riverside County Sheriff's Department,33,00,00,5,30,1935,White,Male,Booked - Awaiting Trial,822,1986,2,14,County Jail,Living,Local Hospital,Natural,Not Applicable
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,1,24,1941,White,Male,Booked - Awaiting Trial,0,1986,2,14,County Jail,Living,Local Hospital,Natural,Not Applicable
San Bernardino,Sheriff,San Bernardino County Sheriff's Department,36,00,00,10,31,1955,White,Male,Booked - Awaiting Trial,370,1986,2,16,County Jail,Living,County jail,Suicide,"Hanging,Strangulation"
Sacramento,State,Folsom State Prison,34,01,5C,11,24,1958,Hispanic,Male,Sentenced,881,1986,2,18,CDC/CRC,Common,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Monterey,State,Correctional Training Facility,27,01,5C,2,2,1955,White,Male,Sentenced,400,1986,2,18,CDC/CRC,Living,CDC/CRC,Accidental,Drug Overdose
Madera,Sheriff,Madera County Sheriff's Department,20,00,00,5,27,1954,White,Male,Sentenced,0,1986,2,19,County Jail,Common,Local Hospital,Natural,Not Applicable
San Bernardino,Sheriff,San Bernardino County Sheriff's Department,36,00,00,7,7,1950,White,Male,Sentenced,836,1986,2,25,County Jail,Living,Local Hospital,Natural,Not Applicable
Sutter,Sheriff,Sutter County Sheriff's Department,51,00,00,11,17,1965,White,Male,Sentenced,420,1986,2,26,County Jail,Living,Local Hospital,Accidental,Drug Overdose
Sacramento,State,Folsom State Prison,34,01,5C,9,4,1954,Black,Male,Sentenced,150,1986,3,3,CDC/CRC,Common,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Los Angeles,Police,Azusa Police Department,19,05,00,11,29,1962,White,Female,Booked - Awaiting Trial,856,1986,3,3,City Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
San Francisco,Police,San Francisco Police Department,38,01,00,6,29,1941,White,Male,Booked - Awaiting Trial,46,1986,2,25,City Jail,Holding,Local Hospital,Natural,Not Applicable
Kern,State,California Correctional Institution,15,01,5C,7,30,1953,Hispanic,Male,Sentenced,100,1986,1,4,CDC/CRC,Living,CDC/CRC,Accidental,Drug Overdose
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,9,23,1909,White,Male,Booked - Awaiting Trial,100,1986,2,9,County Jail,Living,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,0,0,1912,White,Male,Sentenced,100,1986,3,2,County Jail,Living,County jail,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,11,9,1933,Black,Male,Sentenced,110,1986,3,12,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
San Bernardino,State,California Institution for Men,36,01,5C,0,0,1920,White,Male,Sentenced,0,1986,3,16,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
